iter	Logloss
0	0.6903667073
1	0.6870083979
2	0.684549266
3	0.6817655144
4	0.6798768414
5	0.6766157193
6	0.6744214248
7	0.6710367597
8	0.6680688806
9	0.6654582808
10	0.6620272557
11	0.6591409238
12	0.6569642036
13	0.6540213426
14	0.6517246998
15	0.6499146912
16	0.6475134574
17	0.6449560857
18	0.6427986425
19	0.6399507828
20	0.6370973304
21	0.6345928012
22	0.6326753172
23	0.6305500901
24	0.6280318819
25	0.6265249692
26	0.6238630931
27	0.6218126497
28	0.6193255728
29	0.6169062974
30	0.6142555739
31	0.6123864329
32	0.6102492975
33	0.6078150141
34	0.6056435696
35	0.6042720461
36	0.6021282467
37	0.6005622204
38	0.5985361093
39	0.5968676366
40	0.59547139
41	0.5935740706
42	0.5919830335
43	0.5903518559
44	0.5886081725
45	0.5866385352
46	0.5846327364
47	0.5828622057
48	0.5812880122
49	0.5792788982
50	0.5776115162
51	0.5766544416
52	0.5749127419
53	0.5732393463
54	0.5719555322
55	0.5699749732
56	0.5680704209
57	0.5662545995
58	0.5649003194
59	0.5634498739
60	0.5618591314
61	0.5604765478
62	0.5590726645
63	0.5576111284
64	0.5562542788
65	0.5550551532
66	0.5537408279
67	0.5518208603
68	0.5502297544
69	0.5492532386
70	0.5475071859
71	0.5460479939
72	0.5444727155
73	0.5427818067
74	0.5415821794
75	0.5404724037
76	0.5389789354
77	0.5375436677
78	0.535736089
79	0.5342450971
80	0.5323921591
81	0.5307625258
82	0.5294936452
83	0.5278549416
84	0.5266310907
85	0.5253196957
86	0.5241107702
87	0.5227279698
88	0.5211784143
89	0.5199174386
90	0.5191193691
91	0.5176141435
92	0.5164787669
93	0.5147030345
94	0.5132090816
95	0.5116487441
96	0.5101199815
97	0.5090604099
98	0.5079322919
99	0.5067646307
100	0.5047608399
101	0.5032793096
102	0.5019779804
103	0.5007287706
104	0.4993681121
105	0.4984380764
106	0.4972025463
107	0.4960172294
108	0.4952425333
109	0.4938729741
110	0.4926607978
111	0.4916999108
112	0.4905117926
113	0.4896023226
114	0.4883990484
115	0.4873415223
116	0.4860629595
117	0.4848065422
118	0.4838748233
119	0.4830164537
120	0.481493116
121	0.4805373322
122	0.4794445697
123	0.4782713619
124	0.4769157732
125	0.4758952336
126	0.4750172129
127	0.4736265621
128	0.4725071553
129	0.4711444542
130	0.4701550029
131	0.4690290058
132	0.467904015
133	0.4668400316
134	0.4661544444
135	0.4651134682
136	0.4636273827
137	0.4627321861
138	0.461836004
139	0.4609909986
140	0.4600672843
141	0.4591772818
142	0.4579746305
143	0.4566596677
144	0.4557573403
145	0.4545773862
146	0.4536873224
147	0.4526846454
148	0.4519511174
149	0.4508926176
150	0.4499391107
151	0.4487732758
152	0.4476654161
153	0.4464543688
154	0.4455155097
155	0.4445515324
156	0.4438027972
157	0.4431211985
158	0.4422216717
159	0.4414023743
160	0.4404729874
161	0.439515089
162	0.4388946707
163	0.4380379679
164	0.4374655771
165	0.4365722594
166	0.4354576221
167	0.4345629987
168	0.4336468771
169	0.4331826691
170	0.4320344621
171	0.4311142408
172	0.4302536528
173	0.4293486703
174	0.4283844196
175	0.4274633898
176	0.4265152174
177	0.425644365
178	0.4249023337
179	0.4237225409
180	0.422623448
181	0.4220055368
182	0.4215116345
183	0.4206976554
184	0.4199405456
185	0.419366281
186	0.4184132919
187	0.4175356579
188	0.4167633118
189	0.4159618842
190	0.4150759307
191	0.4139583699
192	0.4132753994
193	0.412729341
194	0.4119947235
195	0.4113052561
196	0.4106830563
197	0.4100407321
198	0.4095319151
199	0.4087715913
200	0.4082509644
201	0.4073036064
202	0.4064006003
203	0.4057554157
204	0.4049570274
205	0.4042744362
206	0.4032837785
207	0.4023638234
208	0.4015465903
209	0.4008896274
210	0.4001961052
211	0.399745854
212	0.3990886974
213	0.3982810462
214	0.3977436805
215	0.3971648533
216	0.3965608424
217	0.3955892432
218	0.3949175352
219	0.3942236738
220	0.3933601815
221	0.392434932
222	0.3915684661
223	0.3909409425
224	0.3901147395
225	0.3893723975
226	0.3887542425
227	0.3879683514
228	0.3869817317
229	0.3865135728
230	0.3859583603
231	0.3852933402
232	0.3845407456
233	0.3841857465
234	0.3837827618
235	0.3827970266
236	0.3819839432
237	0.3813090067
238	0.3808120047
239	0.3801646388
240	0.3794426158
241	0.3789119021
242	0.378208618
243	0.3778028946
244	0.3770865668
245	0.3767255181
246	0.3761051505
247	0.3755084206
248	0.3747779287
249	0.3743334239
250	0.373587994
251	0.3729339137
252	0.3724237494
253	0.3717727418
254	0.3711156173
255	0.3704391281
256	0.3698730149
257	0.3688882988
258	0.368400609
259	0.3677314474
260	0.3673984562
261	0.3670236538
262	0.3663431397
263	0.3657489613
264	0.3650733238
265	0.3644235028
266	0.3638981023
267	0.3633820928
268	0.3627454558
269	0.3622159153
270	0.3616368041
271	0.3609793218
272	0.3605091472
273	0.359955154
274	0.3593763763
275	0.3586740769
276	0.3580623051
277	0.3574551869
278	0.3570454912
279	0.3564890445
280	0.3561276552
281	0.3555742063
282	0.35478341
283	0.3541717187
284	0.3534860269
285	0.3530705033
286	0.3522726671
287	0.3516970167
288	0.3513074632
289	0.3506862532
290	0.3501610566
291	0.3497410034
292	0.3492038773
293	0.3486231909
294	0.3480349539
295	0.3477049638
296	0.3469879538
297	0.3463362788
298	0.3459221936
299	0.3453375663
300	0.344758821
301	0.3442203758
302	0.3435982945
303	0.3431901239
304	0.3426755026
305	0.3421160866
306	0.3417501589
307	0.3413407955
308	0.3407515396
